"question_number","buyer_question","answer_direction","company","workflow","primary_vendor","reviewer_lane","answer_shape"
"0","What exact buyer question are we answering?","Restate the live buyer prompt, plus the reviewer lane and preferred answer shape.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"1","Which AI vendors are in scope?","Name the primary model provider and the supporting vendors tied to that exact workflow, not the whole product.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"2","What workflow is under review?","Name the exact support workflow and whether it is planned, active, or replacing an older flow.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"3","What data categories are involved?","Call out the real ticket, identifier, prompt, or attachment scope instead of saying only customer data.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"4","What is the current retention or training stance?","State the current operating stance and point to the vendor terms plus internal proof notes behind it.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"5","Which customers or agreements are affected?","Call out the release segment and any DPA or custom-contract review branch explicitly.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"6","Why is this answer being requested?","Describe the reviewer ask behind the wording so the internal team keeps the same context.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"7","What human review or approval sits behind this answer?","Name the owner chain so the answer does not read like unsupported marketing copy.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"8","What is explicitly out of scope for this answer?","Define the workflow boundary so the buyer does not assume broader product coverage.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"9","When should this answer be rechecked or refreshed?","Record the recheck trigger so the wording does not go stale after the next vendor or workflow change.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"10","Does this trigger notice, escalation, or counsel review?","Expose the rollout or notice implication instead of hiding it in side channels.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"11","What decision still needs to be made before broader reuse?","Name the open decision so the answer is reusable but not falsely final.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"12","What proof and owner notes sit behind the answer?","Keep the proof links, owner, and open questions with the same answer bundle.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"13","Is this workflow planned, active, or replacing another vendor flow?","Clarify lifecycle state so reviewers know whether this is live production scope or a pending change.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"14","Which supporting vendors touch the workflow around the primary AI vendor?","List the surrounding host, database, support, or analytics tools that matter to the reviewed path.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"15","What exact workflow boundary should the reviewer assume?","Restate the covered workflow and the excluded surfaces in one place.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"16","Which customer segment needs the closest contract or DPA check?","Highlight the segment that needs the most careful contract review.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"17","What would force the answer to change before the next deal?","Name the workflow, vendor, contract, or retention trigger that invalidates the current wording.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"18","What broader notice or rollout issue sits behind the answer?","State the notice or escalation impact that procurement may need to know about.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"19","Who owns the response if the buyer asks for more proof tomorrow?","Point to the reply owner plus the same approval path used for the first answer.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
"20","What is the current safe-to-send position in one line?","Summarize the current position in one sentence plus the remaining open decision.","Example SaaS","Customer support drafting assistant for support agents","OpenAI","Procurement / buyer review","Proof-first answer"
